title,company_type,company_size,skills,additional,views_count,english_level
Программист PHP (Middle),"Транспорт, логістика;",10–50 співробітників,", CSS, HTML, PHP, MySQL, Git, Bootstrap, JavaScript, AJAX, jQuery, Знання принципів ООП, Знання принципів MVC, Yii, Redis, Програмування, WebSocket, Доброзичливість",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст BAS,"Неприбуткові, благодійні та громадські організації;",10–50 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,Легка промисловість;,250–1000 співробітників,", Користувач 1С, Конвертація даних, 1С УТП",Повна зайнятість. Досвід роботи від 1 року.,1,
"C++, C# Developer (Windows)",IT;,50–250 співробітників,", Windows OS User, Git, C++, C#, SOLID Principles, Knowledge of OOP principles, GUI, MS Access",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,"Транспорт, логістика;",250–1000 співробітників,", Користувач 1С, Програмування, Програмування 1С, Проактивність, Компетентність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Програміст 1C, BAS","Хімічна промисловість, фармацевтика;",50–250 співробітників,", SQL, Користувач 1С, Комунікабельність, MS SQL Server, Користувач ERP-системи, Користувач BAS, Робота з базою даних",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Senior PHP Developer,"Маркетинг, реклама, PR;",50–250 співробітників,", CSS, Користувач ОС Linux, JavaScript, HTML, PHP, MySQL, Git, PostgreSQL, SEO, MongoDB, Docker, Docker Compose, Адміністрування Apache, PHPUnit, nginx, Redis, Цілеспрямованість, Symfony, RabbitMQ, Codeception",Повна зайнятість. Досвід роботи від 5 років.,1,Англійська — середній
Senior Mobile Software Developer,IT;,10–50 співробітників,", Відповідальність, Kotlin, Ініціативність",Повна зайнятість. Досвід роботи від 5 років.,1,
React Native Developer,"Краса, фітнес, спорт;",50–250 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст BAF (1C),Роздрібна торгівля;,250–1000 співробітників,", Користувач 1С, Користувач BAS, Програмування, Уважність, Чесність, Активна життєва позиція, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст BAS,"Будівельна промисловість, деревообробка",,", Висока працездатність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Інженер-розробник високочастотних радіоелектронних пристроїв,Машинобудування;,10–50 співробітників,,Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років. Вища освіта.,1,
Full-stack PHP-розробник,"Сільське господарство, агробізнес;",більше 1000 співробітників,", JavaScript, PHP, MySQL",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Программист 1С, BAF","Консалтинг, бухгалтерія, аудит;",менше 10 співробітників,", Користувач 1С, Користувач BAS, Програмування, Програмування 1С","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року.",1,
Intern Front-end developer (Angular),IT;,50–250 співробітників,", CSS, JavaScript, HTML, Git, SASS, Google Sheets, TypeScript, REST API, Angular, CSS Grid Layout, FLEX, RxJS",Повна зайнятість. Також готові взяти студента. Незакінчена вища освіта.,2,Англійська — просунутий
Embedded-розробник,IT;,50–250 співробітників,", Git, C++, Робота в команді, Програмування, Програмування мікроконтролерів, Розробка друкованих плат, Продуктивність, Знання архітектури ARM, C/C++","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",1,
Intern Python developer,IT;,50–250 співробітників,", Git, Python, Комунікабельність, Програмування, Знання принципів ООП, PyQt, Tkinter",Повна зайнятість. Також готові взяти студента. Незакінчена вища освіта.,2,Англійська — просунутий
Back-end розробник,Роздрібна торгівля;,50–250 співробітників,", CSS, Користувач ОС Linux, JavaScript, HTML, PHP, MySQL, SQL, Git, PostgreSQL, React, JSON, Відповідальність, Знання принципів ООП, Laravel, Docker, Робота в команді, PHPUnit, REST API, REST, Angular, Redis, SOLID Principles, Mailchimp, Робота з базою даних, Грамотна усна та письмова мова, Аналітичне мислення, eSputnik, Йога, Позитивне мислення",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
BI-розробник фінансового департаменту,"Фінанси, банки, страхування",,", MS Office, MS Excel, SQL, MS Power BI, Tableau, ПЗ «Scrooge 3»",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
C# Developer,Роздрібна торгівля;,менше 10 співробітників,", JavaScript, C#","Повна зайнятість, неповна зайнятість. Досвід роботи від 1 року.",1,
Node.js developer,"Маркетинг, реклама, PR;",10–50 співробітників,", Відповідальність",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Junior Python Developer,"Маркетинг, реклама, PR;",10–50 співробітників,", Користувач ОС Linux, SQL, Git, GitHub, Python, Комунікабельність, Telegram API, Django, Flask",Повна зайнятість. Досвід роботи від 1 року.,4,Англійська — середній
Full stack developer,IT;,10–50 співробітників,", CSS, Користувач ОС Linux, HTML, PHP, MySQL, Git, JavaScript, Scrum, Знання принципів ООП, MongoDB, Angular, Frontend-розробка, Надійність, Продуктивність, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Flutter developer,IT;,10–50 співробітників,", Доброзичливість","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років.",1,
Програміст 1C,Машинобудування;,50–250 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Користувач BAS, Конвертація даних, Налаштування СКД","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,
Full-stack Middle Developer,"Консалтинг, бухгалтерія, аудит;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Jira Developer,IT;,250–1000 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
"Applied mathematician, programmer C++",IT;,менше 10 співробітників,", Linux OS user, Git, GitHub, Jira, Python, BASH, Programming, C++, Linux, PyTorch, Machine learning, Autogen, Kubernetes, Math, Copilot","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років. Вища освіта.",2,Англійська — вище середнього
Програміст 1C,Харчова промисловість;,більше 1000 співробітників,", Користувач 1С, Комунікабельність, Відповідальність, Програмування, Уважність, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Програміст BAS, 1C","Пошук персоналу, HR;",10–50 співробітників,", 1С:Підприємство, Відповідальність, Користувач ERP-системи, Користувач BAS, Програмування, Конвертація даних, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Адміністратор БД, розробник 1С","Хімічна промисловість, фармацевтика;",250–1000 співробітників,", MS Word, MS Excel, MS Office, Користувач 1С, Ведення бухгалтерського обліку, Відповідальність, Користувач ERP-системи, Користувач BAS, Робота з базою даних",Повна зайнятість. Досвід роботи від 2 років.,1,
Middle Oracle Apex Developer,IT;,50–250 співробітників,", SQL, Oracle Database, Oracle SQL Developer, PL/SQL, Ініціативність",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
Full-stack програміст на Python (Strong Junior),"Медицина, охорона здоров'я, аптеки;",більше 1000 співробітників,", JavaScript, SQL, Python, Комунікабельність, Відповідальність, jQuery, Django, Django Rest Framework, Робота в команді, MS SQL Server, Frontend-розробка",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Lead/Senior SQL, JS Developer",IT;,менше 10 співробітників,", SQL, JavaScript, React, Відповідальність, Уважність, Oracle SQL Developer",Повна зайнятість. Досвід роботи від 5 років.,1,Англійська — вище середнього
Python Backend Developer,IT;,50–250 співробітників,", Користувач ОС Linux, SQL, Git, Python, Docker, NoSQL, Backend-розробка, Робота в команді",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — середній
"Розробник PL/SQL, APEX",IT;,50–250 співробітників,", Java, SQL, Oracle Database, Oracle SQL Developer, PL/SQL, Продуктивність",Повна зайнятість. Досвід роботи від 5 років.,1,
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Користувач 1С, 1С:Підприємство, Користувач BAS, Програмування, Робота з базою даних, Чесність, Програмування 1С, Висока працездатність, Професіоналізм, Конвертація даних, Продуктивність, Налаштування СКД",Повна зайнятість. Досвід роботи від 5 років.,1,
PHP developer,IT;,250–1000 співробітників,", PHP, MySQL, Git, PostgreSQL, Content Management System, Laravel, REST API, REST, Redis, RabbitMQ, Phalcon, Apache Kafka, Розробка API",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.,1,
Middle Python Back end Developer,IT;,10–50 співробітників,", Git, JavaScript, Python, PostgreSQL, Django, Django Rest Framework, nginx, HTTP, REST, Angular, Redis, Elasticsearch, Celery, WebSocket",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,2,
Розробник Front-end (React),IT;,10–50 співробітників,,"Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Незакінчена вища освіта.",1,Англійська — середній
Full stack software engineer,"Фінанси, банки, страхування;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вище середнього
Інженер-програміст відділу підтримки користувачів та операцій,"Фінанси, банки, страхування;",250–1000 співробітників,", SQL, MS SQL Server, Адміністративна робота, Адміністрування СУБД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
Junior PHP developer,IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Git, jQuery, Знання принципів ООП, Знання принципів MVC, Bitbucket, CodeIgniter, Продуктивність, Бажання вчитися і розвиватися",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Middle Wordpress developer,IT;,більше 1000 співробітників,", PHP, MySQL, WordPress, JavaScript, HTML, CSS, Знання принципів ООП, Content Management System, Верстка",Повна зайнятість. Досвід роботи від 2 років.,1,
"Конструктор-електронік, програміст у Бровари",Машинобудування;,10–50 співробітників,", Відповідальність, Програмування, Знання САПР, Ініціативність, Знання ЄСКД, Саморозвиток, БАЗИС",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Інженер-програміст АСУ ТП,IT;,50–250 співробітників,", Водійські права кат. B, Програмування, Уважність, TIA Portal, Simatic Step 7, Сумлінність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Junior React Developer,Роздрібна торгівля;,50–250 співробітників,", Відповідальність",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Інженер-програміст (PHP),Енергетика;,більше 1000 співробітників,", MS Word, MS Excel, Користувач ОС Linux, PHP, MySQL, Користувач ОС Windows, JavaScript, Адміністрування Apache, Програмування",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Інженер-технолог, програміст","Металургійна промисловість, металообробка;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C,"Будівельна промисловість, деревообробка;",250–1000 співробітників,", 1С УТП, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Web developer,Харчова промисловість;,50–250 співробітників,", CSS, Figma, HTML, WordPress, JavaScript, SASS, SEO, Відповідальність, jQuery, UI-дизайн, UX-дизайн, Верстка, Дизайн, Уважність, Розробка сайтів, Адаптивність, Креативність, Дисциплінованість",Повна зайнятість. Досвід роботи від 1 року. Середня спеціальна освіта.,1,
Middle FullStack developer (MotoCMS),IT;,250–1000 співробітників,", Самостійність",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
Програміст 1С,"Будівельна промисловість, деревообробка;",50–250 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Стресостійкість, Адміністрування 1С, Робота з базою даних",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
UE4/UE5 (C++) Junior Developer,IT;,10–50 співробітників,", Git, C++, C#, C (programming language), Unreal Engine, Здатність до навчання",Повна зайнятість. Досвід роботи від 1 року.,1,
Microsoft CRM Developer,"Сільське господарство, агробізнес;",більше 1000 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
"Senior Full stack developer (React, Node.js)","Фінанси, банки, страхування;",50–250 співробітників,", JavaScript, PostgreSQL, React, Відповідальність, Node.js, GraphQL, Next.js",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
SQL Developer,"Фінанси, банки, страхування;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Middle Flutter Developer,"Маркетинг, реклама, PR",,", Dart, Flutter, разработка нативных приложений, API, RESTful AP, Frontend, Backend, ООП, GIT, разработка игр 2D графика, наличие игровых проектов, оптимизация программ для мобильных платформ",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,Легка промисловість;,50–250 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, MS SQL Server, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Middle Node.js Back-end developer,"Оптова торгівля, дистрибуція, імпорт, експорт;",10–50 співробітників,", CSS, HTML, PHP, JavaScript, Node.js, Puppeteer","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",1,
"Розробник React, Web-app","Фінанси, банки, страхування;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Програміст 1C, BAS","Будівельна промисловість, деревообробка;",50–250 співробітників,", SQL, Користувач 1С, Комунікабельність, Програмування, Програмування 1С, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Power BI developer,Роздрібна торгівля;,більше 1000 співробітників,", SQL, MS SQL Server, MS Power BI, Productivity",Повна зайнятість. Досвід роботи від 1 року.,1,
Middle Flutter Developer в EdTech проєкт,"Освіта, наука;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
C++ Graphics Developer,"Пошук персоналу, HR;",менше 10 співробітників,", C++",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
PHP/Symfony-розробник,IT;,50–250 співробітників,", MySQL, Jira, Docker, AWS, Symfony, RabbitMQ, Scrum, Kubernetes","Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 2 років. Незакінчена вища освіта.",1,Англійська — вище середнього
Android Mobile Developer,"Охорона, безпека;",50–250 співробітників,", Java, Kotlin, Flutter",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Senior React Developer,IT;,менше 10 співробітників,", React Hook Form, CSS Framework, React Query, React Hooks, Figma, React, Jest, Next.js, React Redux, Redux Toolkit, JavaScript, TypeScript, Unit-тестирование",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,"Англійська — початковий, російська — вище середнього"
Розробник BI (автоматизація процесів фінансового моніторингу),"Фінанси, банки, страхування",,", MS Office, MS Excel, SQL, MS Power BI, MS Word, MS PowerPoint, Програмування, Налаштування ПЗ, Користувач АБС Scrooge, Аналіз даних, Економічний аналіз, Візуалізація, Ведення звітності, Робота з великим обсягом інформації, QlikView, Qlik, Tableau, Тестування ПЗ, Фінансовий моніторинг",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Academy for Power Apps Developers,IT;,10–50 співробітників,", Project Power App, Power Apps","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана.",1,Англійська — середній
Full Stack Java Script програміст,IT;,10–50 співробітників,", JavaScript, Програмування, Frontend-розробка","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року.",2,
Senior Java Software Developer,IT;,10–50 співробітників,", Java, Java Core, MySQL, React, Agile, Відповідальність, AWS, Маркетинг, Дизайн, Налаштування DOS, Проєктування, Знання методології розробки ПЗ, Робота з людьми, Забезпечення охорони, Cutting, Адвокатський супровід, IFS Applications, Урегулювання конфліктів, Розробка ПЗ, Кодування інформації, Кромкування, Менторство, Аудит, Продюсування",Повна зайнятість. Досвід роботи від 5 років.,3,Англійська — вільно
PHP Developer (OpenCart),IT;,10–50 співробітників,", PHP, WordPress, OpenCart","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років. Середня освіта.",1,
Embedded developer C/C++,IT;,10–50 співробітників,", Користувач ОС Linux, Git, C++, TCP/IP, BASH, Програмування, Продуктивність, C/C++","Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Незакінчена вища освіта.",1,Англійська — вище середнього
Web developer,IT;,менше 10 співробітників,", CSS, JavaScript, HTML, PHP",Повна зайнятість. Також готові взяти людину з інвалідністю. Вища освіта.,1,
Full stack developer,IT;,менше 10 співробітників,", CSS, JavaScript, HTML, Git, PostgreSQL, React, MongoDB, Node.js, Робота в команді, Програмування, Продуктивність, Розробка API",Повна зайнятість. Досвід роботи від 5 років.,1,"Українська — вільно, англійська — середній"
Solana Middle/Senior Developer (C#),"Маркетинг, реклама, PR;",10–50 співробітників,", C#, Комунікабельність, Відповідальність, Знання принципів ООП, Solidity, Rust, Blockchain","Повна зайнятість, неповна зайнятість. Досвід роботи від 1 року.",1,
"Розробник (Laravel, Full Stack)","Фінанси, банки, страхування;",менше 10 співробітників,", Целеустремленность","Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 2 років. Вища освіта.",1,
"Інженер-радіотехнік, електронщик, розробник радіоелектронного обладнання",Легка промисловість;,менше 10 співробітників,", Ремонт електроніки, Proteus Design Suite, Знання САПР, Altium Designer, Паяння, Розробка друкованих плат, Комунікабельність",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Інженер-розробник електроніки, Electronics Hardware Developer",Машинобудування;,10–50 співробітників,", Altium Designer, NI Multisim, Layout, Schematics, Oscilloscope, PCB design, SATA, USB, LVDS","Повна зайнятість, неповна зайнятість. Досвід роботи від 5 років. Вища освіта.",1,Українська — просунутий
Стажер-разработчик Javascript (US),"Маркетинг, реклама, PR;",10–50 співробітників,", JavaScript, Знание принципов ООП, Pipedrive, Тайм-менеджмент, Системное мышление",Повна зайнятість. Також готові взяти людину з інвалідністю.,4,Англійська — середній
Front-end developer,IT;,10–50 співробітників,", CSS, Adobe Photoshop, JavaScript, HTML, GitHub, HTTP, REST API, ECMAScript, Програмування, Верстка, Адаптивна верстка, Кросбраузерна верстка, Frontend-розробка","Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року.",1,
Junior Java Full Stack Developer,"Фінанси, банки, страхування;",250–1000 співробітників,", Java, SQL, Користувач ОС Windows, Git, Python, PostgreSQL, Комунікабельність, Відповідальність, Apache Tomcat, Apache Maven, Hibernate, Spring Boot, Пунктуальність, Робота з базою даних, Уважність, JPA, Java Message Service, Самостійність, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року. Незакінчена вища освіта.,2,Англійська — середній
Middle Full Stack Web Developer (WP),IT;,10–50 співробітників,", Figma, PHP, WordPress, JavaScript, React, Content Management System, Node.js, Веб-дизайн, Дизайн, WooCommerce",Повна зайнятість. Досвід роботи від 1 року.,1,
Middle Java Software Engineer,"ЗМІ, медіа;",більше 1000 співробітників,", CSS, Користувач ОС Linux, Java, Java Core, HTML, MySQL, Користувач ОС Windows, JavaScript, Python, PostgreSQL, Відповідальність, MongoDB, TypeScript, Hibernate, Spring Boot, Spring Security, Spring Data, Angular, Redis, Робота з базою даних, Kotlin, Чесність, Digitals, AngularJS, Angular Material, Проєктування, Забезпечення охорони, Функціональне тестування, Frontend-розробка, Технічна підтримка користувачів, Розуміння структури даних, Відкритість, Сміливість",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Програміст 1C (BAS ERP),"Оптова торгівля, дистрибуція, імпорт, експорт;",50–250 співробітників,", Користувач 1С, Користувач ERP-системи, Користувач BAS, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Інженер-програміст (BAS, 1С)",Харчова промисловість;,більше 1000 співробітників,", Комунікабельність, Відповідальність, Аналітичне мислення, Ініціативність, Наполегливість",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Full Stack Web Developer (Laravel, Vue.js)",IT;,50–250 співробітників,", Laravel, Vue.js",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
Front-end Web developer,IT;,50–250 співробітників,", CSS, JavaScript, HTML, Git, React, Комунікабельність, Vue.js, REST, Програмування, Дизайн, UX-дизайн, Знання CSS-препроцесорів","Повна зайнятість, неповна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.",1,
Regular Full Stack Web Developer (WP),IT;,10–50 співробітників,", Figma, PHP, WordPress, JavaScript",Повна зайнятість.,1,
Менеджер з продажу нерухомості,"Будівництво, архітектура, дизайн інтер'єру;",10–50 співробітників,", Ведення CRM, Водійські права кат. B, Комунікабельність, Активність, Цілеспрямованість, Продаж, Пошук нових клієнтів, Орієнтація на результат, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Різноробочий на будівництво,"Будівництво, архітектура, дизайн інтер'єру;",10–50 співробітників,", Витривалість",Повна зайнятість. Досвід роботи від 1 року. Середня спеціальна освіта.,1,
"Junior Front End developer, PBN Specialist",IT;,більше 1000 співробітників,", Уважність, Висока працездатність",Повна зайнятість. Досвід роботи від 1 року.,2,
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",10–50 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Користувач BAS, Програмування, Програмування 1С, Конвертація даних","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",2,
Junior/Middle Profile Angular Frontend Developer,Машинобудування;,10–50 співробітників,", CSS, JavaScript, HTML, Git, Node.js, TypeScript, REST API, REST, Angular, Frontend-розробка",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Інженер-програміст, електронник",Харчова промисловість;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Інженер-програміст,Державні організації;,50–250 співробітників,,"Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Вища освіта.",2,Українська — вільно
